window_start_utc,std_z,std_n,std_e,std_sum,smoothed_std_sum,selected_quiet_hour
2009-02-19 00:00:00.025100,417.2981182973329,363.57417047330904,416.5597783187533,1197.4320670893953,,False
2009-02-19 00:01:00.025100,404.91241346179004,362.4746431669343,375.6651478903741,1143.0522045190985,,False
2009-02-19 00:02:00.025100,370.9383646521029,346.5003381662648,362.4446797381984,1079.8833825565662,,False
2009-02-19 00:03:00.025100,349.53393608267385,324.46285362514624,354.90180728850186,1028.8985969963219,,False
2009-02-19 00:04:00.025100,341.9350857063826,315.9891931855831,353.9805680236279,1011.9048469155937,,False
2009-02-19 00:05:00.025100,334.1317201246159,289.8020165332284,341.16889066870175,965.1026273265461,,False
2009-02-19 00:06:00.025100,328.3079820334337,284.9535590297896,340.051413181647,953.3129542448703,,False
2009-02-19 00:07:00.025100,313.3824905947437,277.18188242390494,317.2799767630723,907.8443497817209,,False
2009-02-19 00:08:00.025100,306.1075729158116,272.8201243425829,305.68938120200806,884.6170784604026,,False
2009-02-19 00:09:00.025100,298.85463043196177,270.32848136571874,297.0017524762617,866.1848642739423,,False
2009-02-19 00:10:00.025100,293.93679435128394,266.72844315570006,292.2887480459308,852.9539855529148,,False
2009-02-19 00:11:00.025100,283.22581688561456,262.26440665372587,284.85872585221887,830.3489493915592,,False
2009-02-19 00:12:00.025100,278.6769641251225,257.08400674224805,283.7794707559336,819.5404416233041,,False
2009-02-19 00:13:00.025100,272.7088418457356,255.90394384046672,281.06940089665886,809.6821865828612,,False
2009-02-19 00:14:00.025100,255.6619706148328,255.3124882491902,279.31886677372273,790.2933256377457,,False
2009-02-19 00:15:00.025100,249.8316538620249,248.41490790688053,269.1034512801044,767.3500130490098,,False
2009-02-19 00:16:00.025100,240.30951866422345,233.7659801852329,263.5124570271949,737.5879558766512,,False
2009-02-19 00:17:00.025100,233.8014939909008,230.7065760930669,260.5510945536666,725.0591646376342,,False
2009-02-19 00:18:00.025100,226.04990558232194,229.29560692631517,259.5474306726246,714.8929431812617,,False
2009-02-19 00:19:00.025100,220.79474502167025,225.7597289569499,256.2756980246942,702.8301720033144,,False
2009-02-19 00:20:00.025100,220.13861275078298,223.58198484983805,251.61158324015065,695.3321808407717,,False
2009-02-19 00:21:00.025100,219.52834564904384,220.85070646643757,247.85696420587988,688.2360163213613,,False
2009-02-19 00:22:00.025100,217.49679079780856,218.33646829229102,241.64406511563587,677.4773242057354,,False
2009-02-19 00:23:00.025100,215.40102760536777,214.83888151615926,239.40985847761434,669.6497675991413,,False
2009-02-19 00:24:00.025100,214.11760352535808,213.3999804850733,238.0557862376003,665.5733702480317,,False
2009-02-19 00:25:00.025100,211.38027784550954,210.8322217811969,236.91449220455428,659.1269918312607,,False
2009-02-19 00:26:00.025100,209.07070856120583,206.2034360277651,234.9258697166989,650.2000143056698,,False
2009-02-19 00:27:00.025100,207.8102074568275,205.77428233609461,234.3051000593056,647.8895898522277,,False
2009-02-19 00:28:00.025100,207.08610791077604,205.18320888025454,236.71253686518978,648.9818536562203,,False
2009-02-19 00:29:00.025100,206.22146973389883,203.70901472224207,239.17159267764671,649.1020771337876,,False
2009-02-19 00:30:00.025100,204.07544467387427,202.82072747490858,239.35476735315441,646.2509395019373,,False
2009-02-19 00:31:00.025100,203.5410450648301,203.21415829042098,238.9154685536192,645.6706719088703,,False
2009-02-19 00:32:00.025100,199.9652585616827,202.53683672644496,237.15644770722608,639.6585429953537,,False
2009-02-19 00:33:00.025100,199.1199504199565,202.08114916466224,236.17405004223045,637.3751496268492,,False
2009-02-19 00:34:00.025100,198.0407434753989,201.08178343527564,234.64547313734653,633.7680000480211,,False
2009-02-19 00:35:00.025100,196.55017202016967,200.45040510820374,234.17363974998875,631.1742168783621,,False
2009-02-19 00:36:00.025100,196.06392157099432,199.49947541510406,234.0085110362904,629.5719080223888,,False
2009-02-19 00:37:00.025100,195.4501980392117,198.58701180230182,232.67406870551972,626.7112785470332,,False
2009-02-19 00:38:00.025100,193.854417836849,197.5523536506205,231.59186877450634,622.9986402619759,,False
2009-02-19 00:39:00.025100,191.84562859281985,197.00039670678203,231.2567815357396,620.1028068353414,,False
2009-02-19 00:40:00.025100,190.60868560335123,195.33949757426788,230.10220361636001,616.0503867939791,,False
2009-02-19 00:41:00.025100,189.4559848050271,194.4329198473253,229.2597464509334,613.1486511032858,,False
2009-02-19 00:42:00.025100,189.77345823803412,193.45732791297823,227.45758564784975,610.6883717988621,,False
2009-02-19 00:43:00.025100,188.84038988551458,192.4795354704302,227.41246861514853,608.7323939710933,,False
2009-02-19 00:44:00.025100,187.19576118808772,191.6981785140312,227.23926114662697,606.1332008487459,,False
2009-02-19 00:45:00.025100,186.57930323410864,191.2700164130957,226.826243169078,604.6755628162823,,False
2009-02-19 00:46:00.025100,186.3969827529233,190.6285353830682,226.0299661058574,603.055484241849,,False
2009-02-19 00:47:00.025100,186.629236290203,190.32966793550307,224.72112433848702,601.6800285641931,,False
2009-02-19 00:48:00.025100,185.75966209183397,190.088655887329,224.52981108236196,600.378129061525,,False
2009-02-19 00:49:00.025100,185.52947674657528,189.3300177971998,223.6297475293487,598.4892420731238,,False
2009-02-19 00:50:00.025100,185.04678803015275,189.51033284705585,222.68572757122044,597.2428484484291,,False
2009-02-19 00:51:00.025100,183.6691144601542,188.80105629260413,222.1128689224794,594.5830396752377,,False
2009-02-19 00:52:00.025100,183.66037618818416,187.34752095462804,221.61622739002888,592.624124532841,,False
2009-02-19 00:53:00.025100,183.0699819853375,187.3390631551126,221.0354269188396,591.4444720592896,,False
2009-02-19 00:54:00.025100,182.68730567699515,186.6771297118875,219.6342585375791,588.9986939264617,,False
2009-02-19 00:55:00.025100,182.38202749530166,186.21615209572863,218.06836009328126,586.6665396843116,,False
2009-02-19 00:56:00.025100,181.81744701007167,185.42759694002072,215.54340646201774,582.7884504121101,,False
